region,unit_price_kron,units_sold,discount_frac,revenue_kron
Borvik,8.79,0,0.249,0.0
Cyndara,79.0,9,0.647,250.98
Aurelia,13.69,2,0.115,24.23
Aurelia,73.15,4,0.367,185.22
Cyndara,8.83,2,,9.62
Borvik,57.28,6,0.433,194.87
Cyndara,36.99,4,0.365,93.95
Cyndara,13.52,1,0.461,7.29
Aurelia,41.16,7,0.504,142.91
Aurelia,28.27,4,0.584,47.04
Aurelia,89.85,12,0.201,861.48
Borvik,28.66,2,0.216,44.94
Borvik,23.9,3,0.53,33.7
Aurelia,58.34,7,0.419,237.27
Aurelia,29.49,0,0.308,0.0
Aurelia,27.91,1,0.299,19.56
Aurelia,44.54,2,0.155,75.27
Aurelia,13.96,0,0.675,0.0
Cyndara,32.92,5,0.301,115.06
Borvik,59.29,6,,104.94
Borvik,31.24,3,,70.1
Aurelia,32.31,3,0.183,79.19
Aurelia,117.04,7,0.206,650.51
Drostal,75.21,8,0.238,458.48
Aurelia,46.32,5,,148.22
Cyndara,118.31,12,0.163,1188.31
Borvik,109.17,14,0.192,1234.93
Aurelia,28.97,3,0.42,50.41
Cyndara,61.24,8,0.153,414.96
Borvik,31.55,2,0.263,46.5
Cyndara,5.6,1,0.407,3.32
Aurelia,34.64,6,0.511,101.63
Aurelia,33.06,6,,176.94
Borvik,11.6,2,0.156,19.58
Aurelia,35.25,4,0.237,107.58
Borvik,136.27,13,0.196,1424.29
Borvik,10.03,0,0.602,0.0
Cyndara,40.19,3,0.188,97.9
Borvik,105.01,7,0.357,472.65
Aurelia,39.63,2,0.194,63.88
Aurelia,71.67,8,0.477,299.87
Borvik,8.29,1,0.232,6.37
Borvik,117.13,7,0.31,565.74
Aurelia,16.31,1,0.422,9.43
Cyndara,60.57,5,0.192,244.7
Aurelia,101.83,15,0.144,1307.5
Drostal,24.77,3,0.095,67.25
Cyndara,131.9,15,0.036,1907.27
Borvik,29.94,2,0.611,23.29
Borvik,139.21,15,0.282,1499.29
Borvik,46.31,0,0.614,0.0
Borvik,192.53,16,0.095,2787.83
Borvik,23.98,4,0.379,59.57
Cyndara,146.62,20,0.055,2771.12
Cyndara,104.9,8,0.196,674.72
Aurelia,34.08,3,0.291,72.49
Cyndara,117.04,10,0.495,591.05
Borvik,53.45,5,0.124,234.11
Aurelia,121.45,12,0.243,1103.25
Aurelia,16.76,1,0.046,15.99
Aurelia,167.88,17,0.049,2714.12
Cyndara,130.91,14,0.138,1579.82
Borvik,59.21,7,0.016,407.84
Aurelia,30.11,5,0.119,132.63
Aurelia,56.86,7,0.657,136.52
Drostal,61.06,2,,38.35
Drostal,81.02,5,,375.12
Aurelia,48.17,4,0.139,165.9
Aurelia,75.17,8,0.282,431.78
Aurelia,36.72,3,0.33,73.81
Cyndara,51.7,3,0.071,144.09
Drostal,11.4,1,0.502,5.68
Aurelia,41.03,2,0.062,76.97
Drostal,32.57,5,0.462,87.61
Aurelia,14.19,0,0.174,0.0
Borvik,53.14,2,0.249,79.82
Borvik,34.99,5,0.052,165.85
Aurelia,167.67,15,,2288.7
Aurelia,80.5,8,0.103,577.67
Aurelia,132.51,14,0.348,1209.55
Borvik,60.99,4,0.577,103.2
Aurelia,33.85,1,0.322,22.95
Aurelia,39.75,4,0.119,140.08
Aurelia,50.92,8,0.456,221.6
Aurelia,25.58,3,0.146,65.54
Aurelia,107.05,7,0.326,505.06
Cyndara,93.49,9,0.365,534.3
Borvik,72.75,6,0.307,302.49
Borvik,22.45,2,0.156,37.9
Aurelia,30.43,3,0.194,73.58
Borvik,62.23,4,0.694,76.17
Aurelia,69.62,7,0.114,431.78
Aurelia,51.33,6,0.016,303.05
Borvik,43.7,2,0.411,51.48
Borvik,46.61,4,0.149,158.66
Aurelia,3.53,0,0.391,0.0
Borvik,72.24,10,0.248,543.24
Aurelia,72.29,2,0.21,114.22
Aurelia,91.4,13,0.32,807.98
Aurelia,72.23,5,,250.64
Aurelia,25.96,1,0.096,23.47
Borvik,114.22,11,0.382,776.47
Aurelia,39.51,1,0.157,33.31
Aurelia,87.98,9,0.244,598.62
Aurelia,80.02,8,0.161,537.09
Aurelia,72.98,9,0.51,321.84
Aurelia,97.23,9,0.231,672.93
Aurelia,20.04,5,0.141,86.07
Aurelia,19.4,3,0.228,44.93
Aurelia,41.47,4,0.216,130.05
Aurelia,21.73,3,0.525,30.97
Aurelia,44.44,3,0.135,115.32
Aurelia,65.8,10,0.276,476.39
Cyndara,58.44,10,0.22,455.83
Cyndara,43.24,10,,357.16
Aurelia,128.59,16,0.221,1602.75
Cyndara,45.85,4,0.375,114.62
Borvik,48.26,4,0.433,109.45
Drostal,129.24,13,0.464,900.54
Cyndara,53.31,6,0.567,138.5
Drostal,80.51,11,0.226,685.46
Cyndara,37.81,7,0.483,136.83
Borvik,80.33,6,0.569,207.73
Aurelia,86.49,10,0.481,448.88
Aurelia,5.33,3,0.426,9.18
Cyndara,83.06,12,0.29,707.67
Aurelia,61.21,2,0.328,82.27
Drostal,24.67,1,0.136,21.31
Drostal,41.23,3,0.162,103.65
Aurelia,45.1,6,0.223,210.26
Aurelia,24.77,4,0.262,73.12
Aurelia,60.77,4,0.116,214.88
Drostal,46.69,3,0.112,124.38
Cyndara,153.15,18,0.449,1518.94
Borvik,12.1,0,0.055,0.0
Aurelia,10.5,0,0.271,0.0
Aurelia,84.05,7,,454.21
Borvik,24.99,2,0.332,33.39
Cyndara,56.31,4,0.133,195.28
Aurelia,15.51,2,0.021,30.37
Drostal,50.11,2,0.204,79.78
Aurelia,35.14,2,0.162,58.89
Aurelia,62.56,6,0.178,308.55
Borvik,56.14,3,,138.95
Borvik,60.1,10,0.403,358.8
Aurelia,41.56,2,0.27,60.68
Borvik,94.66,11,0.098,939.22
Aurelia,103.87,6,0.076,575.86
Cyndara,48.24,8,0.289,274.39
Cyndara,146.52,22,0.441,1801.9
Drostal,45.7,1,0.138,39.39
Cyndara,35.15,2,0.464,37.68
Borvik,37.09,5,,165.79
Aurelia,14.87,2,0.256,22.13
Borvik,17.47,1,,7.56
Borvik,8.61,1,0.232,6.61
Borvik,67.97,5,0.384,209.35
Cyndara,60.44,5,0.486,155.33
Aurelia,66.71,4,0.323,180.65
Borvik,80.86,12,0.169,806.34
Borvik,36.93,2,0.087,67.43
Cyndara,16.88,3,0.193,40.87
Drostal,31.75,9,0.205,227.17
Cyndara,39.59,2,0.135,68.49
Cyndara,149.86,13,0.242,1476.72
Drostal,119.02,10,0.437,670.08
Drostal,79.09,8,0.286,451.76
Aurelia,196.65,19,0.137,3224.47
Drostal,21.17,1,0.205,16.83
Cyndara,48.41,5,0.266,177.66
Cyndara,30.91,7,0.383,133.5
Cyndara,39.63,2,0.084,72.6
Drostal,43.14,1,0.106,38.57
Cyndara,24.23,5,0.058,114.12
Aurelia,84.5,5,0.199,338.42
Borvik,29.3,1,0.326,19.75
Aurelia,84.16,9,0.135,655.19
Aurelia,8.2,1,0.117,7.24
Aurelia,71.22,10,,393.13
Cyndara,46.41,1,,40.79
Drostal,36.95,4,0.157,124.6
Borvik,60.37,13,,487.37
Aurelia,2.51,0,0.416,0.0
Borvik,67.43,8,,515.17
Aurelia,31.53,2,0.292,44.65
Drostal,32.63,4,0.274,94.76
Borvik,72.78,15,0.222,849.34
Borvik,40.28,4,,87.0
Aurelia,33.92,2,0.578,28.63
Drostal,16.21,1,0.307,11.23
Drostal,134.22,8,0.097,969.61
Aurelia,23.62,2,,37.74
Aurelia,29.52,4,0.141,101.43
Aurelia,99.36,5,0.083,455.57
Borvik,60.52,4,0.217,189.55
Aurelia,64.85,9,0.384,359.53
Cyndara,47.99,4,0.168,159.71
Aurelia,41.58,4,0.204,132.39
Cyndara,45.16,1,0.195,36.35
Cyndara,45.56,3,0.189,110.85
Borvik,24.83,1,0.372,15.59
Cyndara,36.09,2,0.127,63.01
Cyndara,41.17,4,0.314,112.97
Borvik,24.35,2,0.395,29.46
Aurelia,11.97,1,0.467,6.38
Aurelia,15.51,1,0.439,8.7
Borvik,32.49,5,0.493,82.36
Drostal,64.11,10,0.499,321.19
Aurelia,43.37,3,0.208,103.05
Cyndara,20.33,2,0.339,26.88
Aurelia,44.62,2,0.178,73.36
Borvik,83.61,6,0.346,328.09
Aurelia,48.77,2,0.053,92.37
Borvik,149.98,17,0.264,1876.55
Borvik,35.5,2,,31.52
Borvik,24.54,0,0.264,0.0
Borvik,29.34,4,,55.86
Borvik,113.49,14,0.089,1447.45
Cyndara,24.77,1,0.477,12.95
Borvik,10.58,1,0.414,6.2
Drostal,41.27,4,0.121,145.11
Drostal,6.73,0,0.071,0.0
Borvik,97.29,7,0.351,441.99
Aurelia,69.24,3,0.41,122.55
Drostal,150.61,13,0.184,1597.67
Borvik,37.6,4,0.292,106.48
Borvik,21.22,1,0.405,12.63
Aurelia,14.37,1,0.36,9.2
Aurelia,115.89,15,0.556,771.83
Aurelia,55.76,4,0.107,199.17
Cyndara,46.05,5,0.058,216.9
Cyndara,180.93,23,0.338,2754.84
Borvik,14.29,2,,24.58
Cyndara,39.1,1,0.38,24.24
Drostal,152.61,13,0.437,1116.95
Cyndara,106.24,7,0.163,622.46
Aurelia,83.55,7,0.061,549.17
Cyndara,288.02,30,0.127,7543.24
Drostal,17.92,1,,12.49
Aurelia,21.02,2,0.205,33.42
Aurelia,63.41,3,0.446,105.39
Aurelia,78.72,8,0.231,484.29
Aurelia,7.88,3,0.195,19.03
Cyndara,34.09,3,0.304,71.18
Aurelia,12.31,0,,0.0
Borvik,40.61,9,0.122,320.9
Cyndara,18.74,1,0.491,9.54
Borvik,92.61,13,0.069,1120.86
Aurelia,43.18,3,0.373,81.22
Borvik,58.35,9,0.072,487.34
Borvik,81.06,10,0.375,506.62
Aurelia,46.71,4,0.383,115.28
Borvik,40.94,5,0.203,163.15
Cyndara,27.83,1,0.302,19.43
Drostal,76.39,4,0.136,264.0
Aurelia,87.19,8,,621.49
Borvik,88.08,7,0.436,347.74
Drostal,20.18,1,0.116,17.84
Cyndara,58.08,4,0.382,143.57
Aurelia,76.23,10,0.3,533.61
Cyndara,23.14,0,0.305,0.0
Cyndara,18.86,1,0.36,12.07
Borvik,102.18,12,0.256,912.26
Aurelia,39.3,2,0.335,52.27
Cyndara,70.52,14,0.166,823.39
Aurelia,19.41,5,0.313,66.67
Aurelia,9.51,1,,4.55
Aurelia,90.44,8,,422.54
Aurelia,95.01,5,0.431,270.3
Borvik,29.17,2,0.087,53.26
Borvik,27.53,2,0.062,51.65
Borvik,23.66,3,0.073,65.8
Borvik,111.95,21,0.486,1208.39
Aurelia,64.26,8,0.324,347.52
Aurelia,72.28,6,0.169,360.39
Drostal,39.88,2,0.019,78.24
Aurelia,53.57,3,0.145,137.41
Borvik,57.14,1,0.284,40.91
Borvik,18.99,2,0.214,29.85
Drostal,55.9,8,0.093,405.61
Borvik,46.06,3,0.409,81.66
Aurelia,61.22,8,0.16,411.4
Aurelia,57.95,3,0.16,146.03
Cyndara,44.62,6,0.259,198.38
Aurelia,33.56,5,0.118,148.0
Cyndara,146.52,13,0.098,1718.09
Aurelia,52.49,6,0.241,239.04
Cyndara,17.68,1,0.134,15.31
Aurelia,50.07,12,0.31,414.58
Borvik,38.66,3,0.331,77.59
Borvik,38.44,4,0.275,111.48
Aurelia,9.14,2,0.492,9.29
Drostal,26.27,4,0.184,85.75
Aurelia,93.11,13,0.194,975.61
Aurelia,84.04,7,,459.45
Cyndara,42.27,5,0.203,168.45
Borvik,24.04,2,0.172,39.81
Aurelia,30.95,3,0.313,63.79
Aurelia,33.2,3,0.432,56.57
Cyndara,84.11,11,0.046,882.65
Cyndara,106.78,6,0.243,484.99
Aurelia,100.74,12,0.323,818.41
Cyndara,36.8,4,0.454,80.37
Borvik,103.17,10,0.31,711.87
Borvik,57.88,11,0.035,614.4
Cyndara,48.92,3,0.256,109.19
Cyndara,25.7,5,0.196,103.31
Aurelia,24.97,4,0.53,46.94
Aurelia,31.96,6,0.176,158.01
Cyndara,100.7,11,0.233,849.61
Drostal,103.37,10,0.542,473.43
Aurelia,42.24,6,0.344,166.26
Aurelia,15.84,2,0.109,28.23
Borvik,10.56,1,0.156,8.91
Cyndara,26.84,3,0.057,75.93
Borvik,59.91,9,0.232,414.1
Aurelia,28.29,1,0.464,15.16
Borvik,52.66,5,0.141,226.17
Aurelia,47.23,5,0.503,117.37
Aurelia,62.74,10,0.487,321.86
Aurelia,59.86,9,0.133,467.09
Borvik,71.61,10,0.296,504.13
Drostal,32.37,2,0.19,52.44
Borvik,83.85,7,0.125,513.58
Borvik,106.78,14,0.312,1028.5
Cyndara,53.34,1,0.364,33.92
Drostal,50.09,9,0.447,249.3
Aurelia,19.19,0,0.105,0.0
Drostal,40.57,1,0.568,17.53
Aurelia,89.51,10,0.181,733.09
Borvik,71.6,5,0.384,220.53
Cyndara,15.1,2,0.454,16.49
Aurelia,16.09,1,0.125,14.08
Borvik,26.01,2,0.357,33.45
Cyndara,29.51,3,0.321,60.11
Aurelia,76.34,8,0.512,298.03
Cyndara,33.9,3,0.213,80.04
Borvik,38.65,2,0.705,22.8
Borvik,76.99,8,0.283,441.61
Aurelia,15.02,0,0.453,0.0
Borvik,19.55,4,0.276,56.62
Aurelia,25.89,3,0.275,56.31
Borvik,61.13,2,0.344,80.2
Cyndara,87.82,7,0.198,493.02
Borvik,40.75,1,0.298,28.61
Borvik,43.66,6,0.153,221.88
Drostal,2.89,1,0.041,2.77
Drostal,79.52,9,0.26,529.6
Aurelia,27.66,2,0.27,40.38
Cyndara,91.85,6,0.309,380.81
Borvik,46.31,6,0.635,101.42
Drostal,25.79,9,0.311,159.92
Borvik,20.16,2,0.407,23.91
Borvik,22.81,3,0.309,47.29
Drostal,58.94,6,0.493,179.3
Aurelia,17.9,0,0.036,0.0
Aurelia,50.33,9,0.415,264.99
Aurelia,67.03,7,0.254,350.03
Borvik,41.7,8,0.504,165.47
Aurelia,66.89,6,0.147,342.34
Cyndara,9.07,1,0.163,7.59
Borvik,11.9,2,0.436,13.42
Borvik,50.46,5,0.573,107.73
Aurelia,104.99,9,,686.0
Aurelia,19.03,0,0.191,0.0
Borvik,44.04,1,0.275,31.93
Drostal,34.55,2,0.38,42.84
Drostal,46.69,4,0.127,163.04
Borvik,10.46,1,0.204,8.33
Aurelia,3.49,0,0.421,0.0
Aurelia,191.37,11,0.305,1463.02
Aurelia,28.67,4,0.516,55.51
Borvik,16.93,0,0.177,0.0
Aurelia,11.37,0,0.185,0.0
Cyndara,43.0,5,0.495,108.58
Drostal,73.94,8,0.105,529.41
Drostal,64.74,7,0.164,378.86
Aurelia,74.93,5,0.199,300.09
Drostal,33.58,4,0.239,102.22
Borvik,60.22,3,0.198,144.89
Aurelia,40.14,1,0.27,29.3
Borvik,43.83,5,0.159,184.31
Borvik,92.86,10,0.061,871.96
Aurelia,21.32,1,0.627,7.95
Aurelia,99.42,11,0.17,907.7
Borvik,6.24,1,,4.79
Aurelia,27.04,3,0.309,56.05
Drostal,180.69,17,0.318,2094.92
Aurelia,47.91,11,0.316,360.47
Cyndara,24.61,5,0.33,82.44
Drostal,34.99,1,0.109,31.18
Aurelia,16.58,2,0.2,26.53
Aurelia,22.94,1,0.23,17.66
Aurelia,144.6,17,0.286,1755.15
Aurelia,43.45,4,0.063,162.85
Cyndara,52.14,4,0.527,98.65
Aurelia,28.02,1,0.135,24.24
Borvik,59.13,12,0.164,593.19
Aurelia,61.33,5,0.273,222.93
Cyndara,14.54,1,0.119,12.81
Cyndara,16.49,3,0.083,45.36
Borvik,39.87,5,0.315,136.55
Borvik,73.38,3,0.414,129.0
Cyndara,36.82,2,0.195,59.28
Cyndara,27.38,1,0.154,23.16
Borvik,52.07,4,0.077,192.24
Aurelia,44.81,5,0.357,144.06
Borvik,26.77,4,0.09,97.44
Borvik,44.07,5,0.574,93.87
Borvik,50.17,4,0.063,188.04
Drostal,7.05,1,0.135,6.1
Borvik,65.54,6,0.246,296.5
Cyndara,31.95,2,0.033,61.79
Cyndara,55.65,3,0.475,87.65
Aurelia,46.5,5,0.1,209.25
Cyndara,67.93,7,0.033,459.82
Aurelia,164.16,13,0.11,1899.33
Borvik,59.88,7,0.235,320.66
Aurelia,43.46,5,0.067,202.74
Aurelia,134.65,12,0.097,1459.07
Aurelia,36.35,2,0.608,28.5
Aurelia,11.63,0,0.665,0.0
Borvik,37.28,4,0.198,119.59
Borvik,46.97,2,0.174,77.59
Borvik,55.15,2,0.43,62.87
Borvik,41.56,3,0.336,82.79
Aurelia,55.78,1,0.226,43.17
Cyndara,23.85,1,0.22,18.6
Borvik,22.62,1,0.421,13.1
Aurelia,132.71,16,0.178,1745.4
Aurelia,30.15,4,0.355,77.79
Borvik,56.38,3,,154.09
Drostal,75.79,11,0.131,724.48
Borvik,52.93,7,0.066,346.06
Cyndara,73.64,5,0.204,293.09
Aurelia,38.24,6,0.505,113.57
Aurelia,23.82,2,0.765,11.2
Aurelia,21.82,3,0.408,38.75
Aurelia,98.52,7,0.027,671.02
Borvik,7.06,0,0.371,0.0
Drostal,55.63,8,0.338,294.62
Borvik,30.44,3,0.52,43.83
Borvik,17.78,2,0.34,23.47
Aurelia,39.18,4,0.306,108.76
Borvik,36.04,4,0.196,115.9
Aurelia,13.09,0,0.187,0.0
Cyndara,20.8,3,0.238,47.55
Aurelia,37.81,1,0.062,35.47
Cyndara,56.4,3,0.301,118.27
Aurelia,78.11,6,0.354,302.75
Aurelia,1.39,0,0.263,0.0
Aurelia,22.94,4,0.177,75.52
Cyndara,22.94,1,0.262,16.93
Drostal,81.95,3,0.357,158.08
Aurelia,77.77,4,0.395,188.2
Aurelia,21.47,4,0.478,44.83
Aurelia,68.58,6,0.355,265.4
Cyndara,56.66,11,0.387,382.06
Borvik,76.05,8,0.163,509.23
Borvik,34.26,2,0.16,57.56
Cyndara,66.92,5,0.509,164.29
Cyndara,104.67,11,0.104,1031.63
Borvik,94.05,11,0.179,849.37
Drostal,103.08,5,0.228,397.89
Borvik,68.4,2,0.085,125.17
Aurelia,63.61,2,0.583,53.05
Aurelia,52.0,7,0.259,269.72
Aurelia,17.2,4,0.351,44.65
Aurelia,7.22,0,0.226,0.0
Aurelia,91.63,7,,230.27
Aurelia,1.16,0,0.526,0.0
Cyndara,39.37,5,0.447,108.86
Aurelia,75.98,18,0.152,1159.76
Aurelia,94.47,14,0.298,928.45
Borvik,87.22,9,,665.66
Borvik,60.13,3,0.182,147.56
Cyndara,25.08,2,0.092,45.55
Borvik,17.8,1,0.435,10.06
Borvik,58.34,10,0.315,399.63
Cyndara,76.37,14,0.205,850.0
Aurelia,34.48,2,0.248,51.86
Borvik,38.68,0,0.257,0.0
Aurelia,122.74,12,0.298,1033.96
Borvik,60.77,7,0.196,342.01
Aurelia,32.66,3,0.645,34.78
Borvik,33.77,5,0.124,147.91
Drostal,71.21,7,0.235,381.33
Aurelia,42.28,7,0.359,189.71
Aurelia,58.57,8,0.143,401.56
Borvik,15.03,0,0.283,0.0
Aurelia,15.11,5,0.287,53.87
Cyndara,92.96,5,0.617,178.02
Cyndara,0.52,0,0.074,0.0
Borvik,3.2,0,0.384,0.0
Aurelia,25.61,4,0.161,85.95
Borvik,12.47,1,0.277,9.02
Cyndara,28.35,1,0.116,25.06
Cyndara,76.52,8,0.702,182.42
Aurelia,19.37,1,0.115,17.14
Borvik,30.28,4,0.405,72.07
Borvik,97.29,16,0.416,909.08
Aurelia,10.81,1,0.423,6.24
Drostal,91.28,10,0.072,847.08
Borvik,82.99,7,0.427,332.87
Aurelia,57.24,3,0.396,103.72
Borvik,44.6,7,,213.86
Borvik,15.51,1,0.702,4.62
Aurelia,40.64,4,0.317,111.03
Cyndara,5.04,1,0.266,3.7
Aurelia,55.13,4,0.275,159.88
Cyndara,66.38,9,0.406,354.87
Aurelia,48.92,3,0.379,91.14
Cyndara,96.84,5,0.186,394.14
Drostal,99.82,8,0.306,554.2
Borvik,45.05,7,0.241,239.35
Aurelia,31.53,6,0.638,68.48
Cyndara,100.31,5,0.362,319.99
Borvik,30.22,2,0.297,42.49
Cyndara,107.03,12,0.249,964.55
Borvik,5.5,2,0.178,9.04
Borvik,22.58,2,0.554,20.14
Borvik,25.11,0,0.632,0.0
Borvik,31.47,4,0.136,108.76
Aurelia,13.75,0,0.046,0.0
Borvik,68.96,5,0.358,221.36
Aurelia,45.37,4,0.431,103.26
Aurelia,59.92,7,,339.33
Drostal,23.24,3,0.087,63.65
Aurelia,51.78,5,0.39,157.93
Drostal,8.9,0,0.189,0.0
Drostal,17.16,0,0.434,0.0
Aurelia,91.81,5,,155.62
Aurelia,40.44,4,0.118,142.67
Drostal,14.65,3,0.301,30.72
Aurelia,11.34,3,0.149,28.95
Aurelia,5.07,0,0.354,0.0
Borvik,25.14,5,0.123,110.24
Aurelia,42.45,4,0.07,157.91
Cyndara,151.63,11,0.284,1194.24
Aurelia,33.04,3,,22.6
Aurelia,29.2,2,0.16,49.06
Drostal,19.54,3,0.079,53.99
Aurelia,17.18,0,,0.0
Cyndara,24.45,5,0.365,77.63
Cyndara,54.35,6,0.447,180.33
Aurelia,71.43,10,0.327,480.72
Aurelia,57.84,6,0.176,285.96
Aurelia,57.23,4,0.177,188.4
Borvik,20.65,1,0.219,16.13
Aurelia,88.18,11,0.262,715.85
Cyndara,26.65,10,0.06,250.51
Borvik,34.68,0,0.165,0.0
Drostal,30.54,2,0.1,54.97
Borvik,3.3,0,,0.0
Aurelia,27.49,1,0.711,7.94
Aurelia,13.94,0,0.047,0.0
Aurelia,33.47,2,0.162,56.1
Aurelia,20.69,3,0.273,45.12
Aurelia,4.16,1,0.266,3.05
Borvik,45.32,4,0.206,143.94
Aurelia,65.96,5,0.143,282.64
Borvik,18.54,3,0.302,38.82
Cyndara,16.2,2,0.139,27.9
Aurelia,84.28,7,0.365,374.62
Aurelia,75.22,8,0.542,275.61
Cyndara,33.6,2,0.315,46.03
Cyndara,50.66,2,0.282,72.75
Aurelia,169.7,16,0.159,2283.48
Aurelia,101.01,5,0.493,256.06
Aurelia,17.63,0,0.525,0.0
